Chip,Kbytes,Data EEPROM,RAM,I/O,ADC Channels,Max. Speed MHz,ADC,GPR,PINS,USART,ChipFamilyOverride,ChipSubFamily,Packages
ATmega48P,4,256,0.5,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega48PA,4,256,0.5,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega64,64,2048,4,53,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega640,64,4096,8,86,16,16,1,32,-1,1,,,"CBGA 100C1 100,TQFP 100A 100"
ATmega644,64,2048,4,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega644A,64,2048,4,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega644P,64,2048,4,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega644PA,64,2048,4,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega645,64,2048,4,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega6450,64,2048,4,69,8,16,1,32,-1,1,,,TQFP 100A 100
ATmega6450A,64,2048,4,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega6450P,64,2048,4,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega645A,64,2048,4,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega645P,64,2048,4,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega649,64,2048,4,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega6490,64,2048,4,69,8,16,1,32,-1,1,,,TQFP 100A 100
ATmega6490A,64,2048,4,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega6490P,64,2048,4,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega649A,64,2048,4,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega649P,64,2048,4,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega64A,64,2048,4,53,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega64M1,64,2048,4,27,11,16,1,32,-1,1,,,"TQFP 32A 32,VQFN (Sawn) PV 32"
ATmega8,8,512,1,23,8,16,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega8515,8,512,0.5,35,,16,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega8535,8,512,0.5,32,8,16,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega88,8,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega88A,8,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega88P,8,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
