Chip,SubChipFamily,KWords,Data EEPROM,HEFWords,SAFWords,ProgMemRowSizeWords,RAM,I/O,ADC Channels,Max. Speed MHz,Int Oscillator (MHz),Parallel Port,USART,Pin Count,PWMTimerVariant,FixedConstants,SMTClockSourceVariant,ConfigBaseLoc,IntOSCCONFormat,READAD10BITFORCE,Stack,IDAddress,IDLength,NoBankRAM,31kSupport,SectorRAMAddress,SectorRAMAddressSize,WriteFlashBlockSize,EraseFlashBlockSize,,
PIC12LF1840T39A,,4,256,0,0,,256,6,4,32,32,No,1,8,0,,0,0,,,16,32768,4,70:7F,,0,0,-1,-1,,
PIC12LF1840T48A,,4,256,0,0,,256,6,4,32,32,No,1,14,0,,0,0,,,16,32768,4,70:7F,,0,0,-1,-1,,
PIC16C432,,2,0,0,0,,128,12,0,20,,No,0,20,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C433,,2,0,0,0,,128,6,4,10,4,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C505,,1,,0,0,,72,12,0,20,,No,0,14,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C52,,0.5,,0,0,,25,12,0,4,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C54,,0.5,,0,0,,25,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C54A,,0.5,,0,0,,25,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C54B,,0.5,0,0,0,,25,12,0,0,0,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C54C,,0.5,,0,0,,25,12,0,40,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C55,,0.5,,0,0,,24,20,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C554,,0.5,0,0,0,,80,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C557,,2,0,0,0,,128,22,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C558,,2,0,0,0,,128,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C55A,,0.5,0,0,0,,24,20,0,40,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C56,,1,,0,0,,25,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C56A,,1,0,0,0,,25,12,0,40,0,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C57,,2,,0,0,,72,20,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
