ARM.CMSIS.pdsc                              ARMCM0                   5.4.0          Cortex-M0
Microchip.ATmega_DFP.pdsc                    ATmega168A               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega168P               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega168PA              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega168PB              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega169A               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega169P               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega169PA              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16A                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16HVA              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16HVB              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16HVBrevB          3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16M1               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16U2               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega16U4               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega2560               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega2561               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega2564RFR2           3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega256RFR2            3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32                 3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3208               3.1.264        AVR8X
Microchip.ATmega_DFP.pdsc                    ATmega3209               3.1.264        AVR8X
Microchip.ATmega_DFP.pdsc                    ATmega324A               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega324P               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega324PA              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega324PB              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega325                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3250               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3250A              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3250P              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3250PA             3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega325A               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega325P               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega325PA              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega328                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega328P               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega328PB              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega329                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3290               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3290A              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3290P              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega3290PA             3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega329A               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega329P               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega329PA              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32A                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32C1               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32HVB              3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32HVBrevB          3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32M1               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32U2               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega32U4               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega406                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega48                 3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega4808               3.1.264        AVR8X
Microchip.ATmega_DFP.pdsc                    ATmega4809               3.1.264        AVR8X
Microchip.ATmega_DFP.pdsc                    ATmega48A                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega48P                3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega48PA               3.1.264        AVR8
Microchip.ATmega_DFP.pdsc                    ATmega48PB               3.1.264        AVR8
